Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Moeda,Valor,V_m2,cep,latitude,longitude,Point,setor_censo
rua dom lúcio de sousa,Vila Gumercindo,São Paulo,177,4,1,1,R$,849000.0,4796.610169491525,4129040.0,-23.602297,-46.6228684,POINT (-46.6228684 -23.602297),355030827000127
rua domingos gonçalo,Jardim Campo Grande,São Paulo,245,3,5,4,R$,2300000.0,9387.755102040815,4693040.0,-23.6781425,-46.6909768,POINT (-46.6909768 -23.6781425),355030816000009
rua zilda,Casa Verde Alta,São Paulo,228,3,2,3,R$,640000.0,2807.0175438596493,2545000.0,-23.4926897,-46.6621685,POINT (-46.6621685 -23.4926897),355030821000073
rua alexandre dumas,Chácara Santo Antônio (Zona Sul),São Paulo,205,2,4,3,R$,1100000.0,5365.8536585365855,6704507.0,-23.6026684,-46.9194693,POINT (-46.9194693 -23.6026684),
rua pio iv,Jardim Vitoria Regia,São Paulo,416,4,5,5,R$,3500000.0,8413.461538461539,5657110.0,-23.62054,-46.7179744,POINT (-46.7179744 -23.62054),355030883000170
rua clarence,Vila Cruzeiro,São Paulo,165,3,5,2,R$,1650000.0,10000.0,4727040.0,-23.6403359,-46.712742,POINT (-46.712742 -23.6403359),355030871000106
rua francisco tapajós,Vila Santo Estéfano,São Paulo,87,3,2,1,R$,520000.0,5977.0114942528735,4153000.0,-23.6261774,-46.6246134,POINT (-46.6246134 -23.6261774),355030827000044
rua muniz barreiros,Vila Formosa,São Paulo,160,3,3,3,R$,640000.0,4000.0,3366050.0,-23.5659016,-46.5346103,POINT (-46.5346103 -23.5659016),355030885000039
avenida lineu de paula machado,Jardim Everest,São Paulo,700,5,5,10,R$,3600000.0,5142.857142857143,5601000.0,-23.5792737,-46.701414,POINT (-46.701414 -23.5792737),355030854000029
rua abreu lemos,Jardim Franca,São Paulo,400,4,5,6,R$,1790000.0,4475.0,2338030.0,-23.4751775,-46.6166552,POINT (-46.6166552 -23.4751775),355030882000044
rua joão de santa maria,Vila Brasilina,São Paulo,184,3,4,3,R$,1280000.0,6956.521739130435,4158070.0,-23.5136416,-46.4627593,POINT (-46.4627593 -23.5136416),355030887000116
